02042	017	030
07080	017	022
07081	017	022
07082	017	022
07083	017	022
07084	017	022
07085	017	022
07086	017	022
07087	017	022
07088	017	022
07090	017	022
07091	017	022
07092	017	022
07093	017	022
07094	017	022
07095	017	022
07096	017	022
07097	017	022
07098	017	022
07103	017	022
07104	017	022
07110	017	022
07112	017	022
07113	017	022
07114	017	022
07115	017	022
07116	017	022
07117	017	022
07118	017	022
07187	017	022
04094	103	136
04219	030	085
04835	017	030
05118	030	103
05225	017	030
05226	017	030
05272	017	030
05372	017	030
05425	017	030
05426	017	030
05427	017	030
05428	017	030
05429	017	030
05432	017	030
05434	017	030
05435	017	030
05436	017	030
05437	017	030
05605	135	030
05726	017	030
06225	017	030
02290	030	078
02291	030	078
02292	030	078
02293	030	078
02294	030	078
02295	030	078
02296	030	078
02297	030	078
02298	030	078
02299	030	078
02300	030	078
02301	030	078
02302	030	078
02303	030	078
32042	030	078
02314	136	085
04103	136	085
05012	017	085
05032	017	085
05493	136	129
05594	136	129
05595	136	129
05596	136	129
05597	136	129
05598	136	129
05665	136	085
02112	129	103
04127	136	103
04563	135	103
05141	136	103
05258	129	103
05380	017	103
05601	129	103
05705	135	103
08308	135	103
08311	135	103
08314	135	103
01126	129	103
02048	129	085
05720	136	129
09853	136	129
04845	017	130
03664	129	135
04290	129	135
